state,n_incident
Pennsylvania,8740
California,16121
Ohio,10082
North Carolina,8652
Louisiana,7974
Maryland,5752
Tennessee,7529
Missouri,6560
District of Columbia,3158
Illinois,17470
Delaware,1672
Utah,1037
Oklahoma,3375
Michigan,5938
Georgia,8877
Indiana,5728
Mississippi,3582
New York,9587
Florida,14907
Washington,3277
South Carolina,6897
Arizona,2303
Kentucky,4091
New Jersey,5344
Virginia,5880
Wisconsin,4743
Rhode Island,883
Texas,13250
Colorado,3148
Alabama,5431
Kansas,2133
Connecticut,3033
West Virginia,1556
New Mexico,1608
Minnesota,2377
Nevada,1891
Nebraska,1624
Massachusetts,5911
Hawaii,288
New Hampshire,946
Iowa,2488
Alaska,1334
Arkansas,2818
Idaho,629
Oregon,2234
Wyoming,492
Maine,888
North Dakota,570
Montana,619
Vermont,461
South Dakota,534